 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
81,Ryan McMahon*,30,2TM,2LG,586,0.305,83,0.294,0.167,3.4,32.3,11.9,91.7,50.6,22.9,41.5,30.7,0.74,35.3,53.6,11.1,-2,-0.70%,-15.56,25.8,75,45.9,*5/HD,,mcmahry01
81,Ryan McMahon*,30,COL,NL,401,0.314,86,0.288,0.186,4,31.7,12.2,92.3,50.7,23.2,37.5,33.5,0.63,33,55.4,11.6,-1.6,-0.30%,-11.4,23.6,66.7,50,5/HD,,mcmahry01
81,Ryan McMahon*,30,NYY,AL,185,0.287,79,0.305,0.126,2.2,33.5,11.4,90.5,50.5,22.2,50.5,24.2,1.06,40.4,49.5,10.1,-0.5,-0.30%,-4.17,30.2,100,38.5,5/H,,mcmahry01
82,Agustín Ramírez,23,MIA,NL,585,0.31,89,0.253,0.182,3.6,19.3,6.2,90.8,47.2,23.8,45.8,22.2,0.84,30.8,50.2,18.9,-1.1,-0.10%,-6.06,34.7,84.2,46.2,2D/H,ROY-6,ramirag01
83,Carlos Correa,30,2TM,AL,584,0.323,103,0.328,0.127,2.2,19.3,7.7,90.5,46.2,27.5,48.2,18.8,0.93,26.4,52.9,20.7,-1.7,-1.00%,-12.03,27.6,,25.6,65/H,,correca01
83,Carlos Correa,30,MIN,AL,364,0.308,91,0.316,0.119,1.9,18.7,7.1,91.1,47.8,24.8,48.9,19.6,0.96,27.4,56.7,15.9,-2,-1.00%,-11.39,30.3,,25,6/H,,correca01
83,Carlos Correa,30,HOU,AL,220,0.349,123,0.349,0.14,2.7,20.5,8.6,89.6,43.5,32.3,47.1,17.4,0.89,24.5,46.5,29,0.4,0.00%,-0.64,23.6,,26.7,6-May,,correca01
84,Lars Nootbaar*,27,STL,NL,583,0.303,94,0.279,0.128,2.2,20.4,11,91,50,25.4,37.3,26.1,0.6,29.2,53.3,17.5,-1.3,-0.50%,-9.82,31.1,44.4,55.6,*798/HD,,nootbla01
85,Trent Grisham*,28,NYY,AL,581,0.363,135,0.253,0.229,5.9,23.6,14.1,90.6,46.4,20.7,36.3,33.5,0.58,40.2,50.3,9.5,2.6,1.60%,29.02,31.5,60,31.7,*8/H,,grishtr01
86,Bryce Harper*,32,PHI,NL,580,0.367,127,0.292,0.226,4.7,20.9,12.1,91,47.5,25.6,43.1,28.5,0.76,30.5,51.7,17.8,1.8,1.20%,17.21,25,85.7,47.9,*3/D,,harpebr03
87,Hunter Goodman,25,COL,NL,579,0.367,124,0.331,0.243,5.4,26.3,5.7,90.8,47.3,22.6,38.5,28.7,0.63,36.7,51,12.3,1.7,0.00%,22.48,26.9,33.3,48.8,2D/H,ASSS,goodmhu01
88,Matt McLain,25,CIN,NL,577,0.297,73,0.292,0.124,2.6,28.9,9.5,87.9,41,21.1,38.3,30,0.64,22.3,55.7,22,-4,-3.00%,-21.25,36.5,90,51.6,*4/6HD,,mclaima01
89,Jo Adell,26,LAA,AL,573,0.335,112,0.257,0.249,6.5,26.4,5.8,91.7,50.1,23.4,38,29.8,0.61,25,54.3,20.7,2,0.60%,13.32,19.8,83.3,42.9,*89/HD,,adelljo01
90,Wyatt Langford,23,TEX,AL,573,0.342,130,0.299,0.19,3.8,26.4,12.9,91.4,48.4,26.8,35,30.6,0.54,32.4,47.8,19.8,1.6,0.80%,14.55,29,78.6,50.9,*78/H,,langfwy01
91,Ke'Bryan Hayes,28,2TM,NL,570,0.275,64,0.289,0.07,0.9,19.5,6.3,89,43.1,24.4,48.6,18.4,0.95,18.4,56.9,24.6,-2.5,-1.20%,-24.61,28.1,80,38.2,*5/H,GG,hayeske01
91,Ke'Bryan Hayes,28,PIT,NL,392,0.264,58,0.297,0.054,0.5,20.7,4.6,89.8,45.8,24.2,48.8,18,0.97,19.7,55.4,24.9,-2,-0.50%,-16.41,29.9,83.3,41,5/H,,hayeske01
91,Ke'Bryan Hayes,28,CIN,NL,178,0.299,79,0.27,0.108,1.7,16.9,10.1,87.1,36.8,24.8,48.1,19.4,0.93,15.5,60.5,24,-0.5,-0.70%,-8.2,24.5,66.7,31.3,5,,hayeske01
92,Miguel Vargas,25,CHW,AL,569,0.315,98,0.261,0.167,2.8,17.6,9.8,89.7,40.6,25.3,29,35.1,0.41,30.5,51.6,17.9,-0.3,-0.40%,7.21,39,100,50,53/DH7,,vargami01
93,Spencer Steer,27,CIN,NL,568,0.321,93,0.277,0.173,3.7,22.7,9,86.8,33.4,23.8,34.5,30.3,0.53,31.9,53.5,14.6,0.8,0.30%,0.51,28.8,87.5,33.9,*3D7/H9,,steersp01
